2019-03-31 21:22:50,678 : INFO : PROGRESS: at sentence #0, processed 0 words, keeping 0 word types
2019-03-31 21:56:17,425 : INFO : EPOCH 1 - PROGRESS: at 9.26% examples, 48746 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:56:19,940 : INFO : EPOCH 1 - PROGRESS: at 9.30% examples, 48478 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:56:20,966 : INFO : EPOCH 1 - PROGRESS: at 9.44% examples, 49014 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:56:23,028 : INFO : EPOCH 1 - PROGRESS: at 9.47% examples, 48817 words/s, in_qsize 1, out_qsize 0
2019-03-31 21:56:28,070 : INFO : EPOCH 1 - PROGRESS: at 9.55% examples, 48466 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:56:30,815 : INFO : EPOCH 1 - PROGRESS: at 9.59% examples, 48331 words/s, in_qsize 1, out_qsize 0
2019-03-31 21:56:32,001 : INFO : EPOCH 1 - PROGRESS: at 9.71% examples, 48827 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:56:36,874 : INFO : EPOCH 1 - PROGRESS: at 9.77% examples, 48472 words/s, in_qsize 2, out_qsize 0
2019-03-31 21:56:38,718 : INFO : EPOCH 1 - PROGRESS: at 9.84% examples, 48732 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:56:41,175 : INFO : EPOCH 1 - PROGRESS: at 9.85% examples, 48391 words/s, in_qsize 1, out_qsize 0
2019-03-31 21:56:42,228 : INFO : EPOCH 1 - PROGRESS: at 9.93% examples, 48670 words/s, in_qsize 1, out_qsize 0
2019-03-31 21:56:43,686 : INFO : EPOCH 1 - PROGRESS: at 9.98% examples, 48731 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:56:45,286 : INFO : EPOCH 1 - PROGRESS: at 10.01% examples, 48667 words/s, in_qsize 2, out_qsize 0
2019-03-31 21:56:46,308 : INFO : EPOCH 1 - PROGRESS: at 10.10% examples, 48953 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:56:47,723 : INFO : EPOCH 1 - PROGRESS: at 10.18% examples, 49030 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:56:48,742 : INFO : EPOCH 1 - PROGRESS: at 10.20% examples, 48923 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:56:53,481 : INFO : EPOCH 1 - PROGRESS: at 10.23% examples, 48292 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:56:54,821 : INFO : EPOCH 1 - PROGRESS: at 10.38% examples, 48832 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:56:55,835 : INFO : EPOCH 1 - PROGRESS: at 10.39% examples, 48819 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:56:57,289 : INFO : EPOCH 1 - PROGRESS: at 10.51% examples, 49235 words/s, in_qsize 0, out_qsize 0
