2019-04-02 18:36:05,547 : INFO : loading trainables recursively from models/enwiki-full-dict-99999.model.trainables.* with mmap=None
2019-04-02 18:36:05,556 : INFO : loading syn1neg from models/enwiki-full-dict-99999.model.trainables.syn1neg.npy with mmap=None
2019-04-02 18:36:06,635 : INFO : loading vocabulary recursively from models/enwiki-full-dict-99999.model.vocabulary.* with mmap=None
2019-04-02 18:36:06,642 : INFO : loading wv recursively from models/enwiki-full-dict-99999.model.wv.* with mmap=None
2019-04-02 18:36:06,649 : INFO : loading vectors from models/enwiki-full-dict-99999.model.wv.vectors.npy with mmap=None
2019-04-02 18:36:07,652 : INFO : setting ignored attribute vectors_norm to None
2019-04-02 18:36:07,654 : INFO : setting ignored attribute cum_table to None
2019-04-02 18:36:07,655 : INFO : loaded models/enwiki-full-dict-99999.model
2019-04-02 18:36:10,654 : WARNING : Effective 'alpha' higher than previous training cycles
2019-04-02 18:36:10,656 : INFO : training model with 10 workers on 1343016 vocabulary and 300 features, using sg=0 hs=0 sample=0.001 negative=5 window=5
2019-04-02 18:39:39,062 : INFO : EPOCH 1 - PROGRESS: at 13.94% examples, 44439 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:39:40,435 : INFO : EPOCH 1 - PROGRESS: at 13.94% examples, 44187 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:39:41,649 : INFO : EPOCH 1 - PROGRESS: at 13.95% examples, 43975 words/s, in_qsize 3, out_qsize 0
2019-04-02 18:39:44,099 : INFO : EPOCH 1 - PROGRESS: at 14.15% examples, 44285 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:39:45,406 : INFO : EPOCH 1 - PROGRESS: at 14.21% examples, 44267 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:39:46,463 : INFO : EPOCH 1 - PROGRESS: at 14.27% examples, 44280 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:39:47,719 : INFO : EPOCH 1 - PROGRESS: at 14.36% examples, 44371 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:39:48,857 : INFO : EPOCH 1 - PROGRESS: at 14.49% examples, 44595 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:39:50,436 : INFO : EPOCH 1 - PROGRESS: at 14.50% examples, 44309 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:39:52,914 : INFO : EPOCH 1 - PROGRESS: at 14.56% examples, 44046 words/s, in_qsize 2, out_qsize 0
2019-04-02 18:39:58,033 : INFO : EPOCH 1 - PROGRESS: at 14.73% examples, 43744 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:40:00,365 : INFO : EPOCH 1 - PROGRESS: at 14.97% examples, 44424 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:40:01,366 : INFO : EPOCH 1 - PROGRESS: at 15.08% examples, 44669 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:40:02,437 : INFO : EPOCH 1 - PROGRESS: at 15.18% examples, 44813 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:40:04,073 : INFO : EPOCH 1 - PROGRESS: at 15.22% examples, 44700 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:40:05,984 : INFO : EPOCH 1 - PROGRESS: at 15.29% examples, 44597 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:40:08,222 : INFO : EPOCH 1 - PROGRESS: at 15.39% examples, 44622 words/s, in_qsize 1, out_qsize 0
2019-04-02 18:40:09,723 : INFO : EPOCH 1 - PROGRESS: at 15.48% examples, 44746 words/s, in_qsize 0, out_qsize 1
2019-04-02 18:40:10,774 : INFO : EPOCH 1 - PROGRESS: at 15.59% examples, 44876 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:40:12,123 : INFO : EPOCH 1 - PROGRESS: at 15.64% examples, 44764 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:40:13,572 : INFO : EPOCH 1 - PROGRESS: at 15.67% examples, 44582 words/s, in_qsize 3, out_qsize 0
2019-04-02 18:40:15,237 : INFO : EPOCH 1 - PROGRESS: at 15.72% examples, 44910 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:40:17,354 : INFO : EPOCH 1 - PROGRESS: at 15.75% examples, 44690 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:40:19,053 : INFO : EPOCH 1 - PROGRESS: at 15.81% examples, 44609 words/s, in_qsize 1, out_qsize 0
2019-04-02 18:40:21,129 : INFO : EPOCH 1 - PROGRESS: at 15.88% examples, 44675 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:40:22,576 : INFO : EPOCH 1 - PROGRESS: at 16.00% examples, 44893 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:40:24,638 : INFO : EPOCH 1 - PROGRESS: at 16.08% examples, 44804 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:40:25,828 : INFO : EPOCH 1 - PROGRESS: at 16.27% examples, 45235 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:40:29,399 : INFO : EPOCH 1 - PROGRESS: at 16.32% examples, 44742 words/s, in_qsize 1, out_qsize 0
2019-04-02 18:40:30,782 : INFO : EPOCH 1 - PROGRESS: at 16.54% examples, 45275 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:40:34,664 : INFO : EPOCH 1 - PROGRESS: at 16.60% examples, 44798 words/s, in_qsize 1, out_qsize 0
2019-04-02 18:40:37,233 : INFO : EPOCH 1 - PROGRESS: at 16.76% examples, 44984 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:40:38,916 : INFO : EPOCH 1 - PROGRESS: at 16.78% examples, 44819 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:40:39,992 : INFO : EPOCH 1 - PROGRESS: at 16.86% examples, 44962 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:40:41,809 : INFO : EPOCH 1 - PROGRESS: at 17.02% examples, 45331 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:40:44,107 : INFO : EPOCH 1 - PROGRESS: at 17.03% examples, 45012 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:40:45,758 : INFO : EPOCH 1 - PROGRESS: at 17.12% examples, 45054 words/s, in_qsize 0, out_qsize 2
2019-04-02 18:40:46,963 : INFO : EPOCH 1 - PROGRESS: at 17.26% examples, 45309 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:40:48,127 : INFO : EPOCH 1 - PROGRESS: at 17.30% examples, 45300 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:40:49,133 : INFO : EPOCH 1 - PROGRESS: at 17.33% examples, 45201 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:40:52,509 : INFO : EPOCH 1 - PROGRESS: at 17.34% examples, 44707 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:40:53,770 : INFO : EPOCH 1 - PROGRESS: at 17.55% examples, 45301 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:40:54,795 : INFO : EPOCH 1 - PROGRESS: at 17.56% examples, 45170 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:40:56,160 : INFO : EPOCH 1 - PROGRESS: at 17.66% examples, 45210 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:40:59,998 : INFO : EPOCH 1 - PROGRESS: at 17.75% examples, 44891 words/s, in_qsize 1, out_qsize 0
